"operatorCode","operatorName","countryName","countryCode","Update"
"MPH","MARTINAIR HOLLAND N.V.","Netherlands","NLD","""2017-10-18T01:00:02.487Z"""
"MGX","MONTENEGRO AIRLINES","Montenegro","MNE","""2017-10-18T01:00:02.487Z"""
"PRF","PRECISION AIR SERVICES LTD.","United Republic of Tanzania","TZA","""2017-10-18T01:00:02.487Z"""
"RBA","ROYAL BRUNEI AIRLINES","Brunei Darussalam","BRN","""2017-10-18T01:00:02.487Z"""
"EXY","SA EXPRESS AIRWAYS","South Africa","ZAF","""2017-10-18T01:00:02.487Z"""
"SBI","SIBERIA AIRLINES","Russian Federation","RUS","""2017-10-18T01:00:02.487Z"""
"SLK","SILKAIR (SINGAPORE) PTE LTD","Singapore","SGP","""2017-10-18T01:00:02.487Z"""
"SIA","SINGAPORE AIRLINES LIMITED","Singapore","SGP","""2017-10-18T01:00:02.487Z"""
"ART","SMART LYNX AIRLINES LTD","Latvia","LVA","""2017-10-18T01:00:02.487Z"""
"SOL","SOLOMON AIRLINES LIMITED","Solomon Islands","SLB","""2017-10-18T01:00:02.487Z"""
"SAA","SOUTH AFRICAN AIRWAYS (SAA)","South Africa","ZAF","""2017-10-18T01:00:02.487Z"""
"SYR","SYRIAN ARAB AIRLINES","Syrian Arab Republic","SYR","""2017-10-18T01:00:02.487Z"""
"TRA","TRANSAVIA HOLLAND B.V.","Netherlands","NLD","""2017-10-18T01:00:02.487Z"""
"UAL","UNITED AIRLINES INC.","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"SVR","URAL AIRLINES","Russian Federation","RUS","""2017-10-18T01:00:02.487Z"""
"WRC","WIND ROSE AVIATION COMPANY LTD","Ukraine","UKR","""2017-10-18T01:00:02.487Z"""
"YZR","YANGTZE RIVER EXPRESS AIRLINES CO., LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"SXD","SUNEXPRESS DEUTSCHLAND GMBH, KELSTERBACH","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"IBS","COMPANIA OPERADORA DE CORTO Y MEDIO RADIO IBERIA EXPRESS, S.A.U.","Spain","ESP","""2017-10-18T01:00:02.487Z"""
"CAL","CHINA AIRLINES","China","CHN","""2017-10-18T01:00:02.487Z"""
"EVA","EVA AIRWAYS CORPORATION","China","CHN","""2017-10-18T01:00:02.487Z"""
"FEA","FAR EASTERN AIR TRANSPORT CORPORATION","China","CHN","""2017-10-18T01:00:02.487Z"""
"MDA","MANDARIN AIRLINES","China","CHN","""2017-10-18T01:00:02.487Z"""
"UIA","UNI AIRWAYS CORPORATION","China","CHN","""2017-10-18T01:00:02.487Z"""
"RUN","ACT HAVAYOLLARI A.S.","Turkey","TUR","""2017-10-18T01:00:02.487Z"""
"ADR","ADRIA AIRWAYS","Slovenia","SVN","""2017-10-18T01:00:02.487Z"""
"AEE","AEGEAN AIRLINES","Greece","GRC","""2017-10-18T01:00:02.487Z"""
"EIN","AER LINGUS TEORANTA","Ireland","IRL","""2017-10-18T01:00:02.487Z"""
"OVA","AERO NOVA","Spain","ESP","""2017-10-18T01:00:02.487Z"""
"IKM","AERO SURVEY LTD","Ghana","GHA","""2017-10-18T01:00:02.487Z"""
"ARG","AEROLINEAS ARGENTINAS","Argentina","ARG","""2017-10-18T01:00:02.487Z"""
"SLI","AEROLITORAL, S.A. DE C.V.","Mexico","MEX","""2017-10-18T01:00:02.487Z"""
"STK","AEROPAC","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"APK","AEROPRAKT K.Z.","Kazakhstan","KAZ","""2017-10-18T01:00:02.487Z"""
"RPB","AEROREPUBLICA","Colombia","COL","""2017-10-18T01:00:02.487Z"""
"AAF","AIGLE AZUR","France","FRA","""2017-10-18T01:00:02.487Z"""
"DAH","AIR ALGERIE","Algeria","DZA","""2017-10-18T01:00:02.487Z"""
